Domain,Type,Sponsoring Organisation,Date
.london,generic,Dot London Domains Limited,2023-10-30
.lotte,generic,"Lotte Holdings Co., Ltd.",2023-10-30
.lotto,generic,Afilias Limited,2023-10-30
.love,generic,Merchant Law Group LLP,2023-10-30
.ltda,generic,InterNetX Corp.,2023-10-30
.luxe,generic,Top Level Domain Holdings Limited,2023-10-30
.luxury,generic,Luxury Partners LLC,2023-10-30
.madrid,generic,Comunidad de Madrid,2023-10-30
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2023-10-30
.maison,generic,"Victor Frostbite, LLC",2023-10-30
.management,generic,"John Goodbye, LLC",2023-10-30
.mango,generic,PUNTO FA S.L.,2023-10-30
.market,generic,"Unitied TLD Holdco, Ltd",2023-10-30
.marketing,generic,"Fern Pass, LLC",2023-10-30
.markets,generic,DOTMARKETS REGISTRY LTD,2023-10-30
.marriott,generic,Marriott Worldwide Corporation,2023-10-30
.media,generic,"Grand Glen, LLC",2023-10-30
.meet,generic,Afilias Limited,2023-10-30
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2023-10-30
.meme,generic,Charleston Road Registry Inc.,2023-10-30
.memorial,generic,"Dog Beach, LLC",2023-10-30
.menu,generic,"Wedding TLD2, LLC",2023-10-30
.miami,generic,Top Level Domain Holdings Limited,2023-10-30
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2023-10-30
.mma,generic,MMA IARD,2023-10-30
.moda,generic,United TLD Holdco Ltd.,2023-10-30
.moe,generic,"Interlink Co., Ltd.",2023-10-30
.monash,generic,Monash University,2023-10-30
.money,generic,"Outer McCook, LLC",2023-10-30
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2023-10-30
.mortgage,generic,"United TLD Holdco, Ltd",2023-10-30
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2023-10-30
.motorcycles,generic,"DERMotorcycles, LLC",2023-10-30
.mov,generic,Charleston Road Registry Inc.,2023-10-30
.movie,generic,"New Frostbite, LLC",2023-10-30
.mtn,generic,MTN Dubai Limited,2023-10-30
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2023-10-30
.nagoya,generic,"GMO Registry, Inc.",2023-10-30
.navy,generic,United TLD Holdco Ltd.,2023-10-30
.net,generic,VeriSign Global Registry Services,2023-10-30
.network,generic,"Trixy Manor, LLC",2023-10-30
.neustar,generic,"NeuStar, Inc.",2023-10-30
.new,generic,Charleston Road Registry Inc.,2023-10-30
.news,generic,United TLD Holdco Ltd.,2023-10-30
.nexus,generic,Charleston Road Registry Inc.,2023-10-30
.ngo,generic,Public Interest Registry,2023-10-30
.nhk,generic,Japan Broadcasting Corporation (NHK),2023-10-30
.nico,generic,"DWANGO Co., Ltd.",2023-10-30
.ninja,generic,United TLD Holdco Ltd.,2023-10-30
.nissan,generic,"NISSAN MOTOR CO., LTD.",2023-10-30
.nra,generic,"NRA Holdings Company, INC.",2023-10-30
.nrw,generic,Minds + Machines GmbH,2023-10-30
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2023-10-30
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2023-10-30
.okinawa,generic,BusinessRalliart inc.,2023-10-30
.one,generic,One.com A/S,2023-10-30
.ong,generic,Public Interest Registry,2023-10-30
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2023-10-30
.online,generic,DotOnline Inc.,2023-10-30
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2023-10-30
.org,generic,Public Interest Registry (PIR),2023-10-30
.organic,generic,Afilias Limited,2023-10-30
.osaka,generic,"Interlink Co., Ltd.",2023-10-30
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2023-10-30
.ovh,generic,OVH SAS,2023-10-30
.page,generic,Charleston Road Registry Inc.,2023-10-30
.panerai,generic,Richemont DNS Inc.,2023-10-30
.paris,generic,City of Paris,2023-10-30
.partners,generic,"Magic Glen, LLC",2023-10-30
.parts,generic,"Sea Goodbye, LLC",2023-10-30
.party,generic,Blue Sky Registry Limited,2023-10-30
.pharmacy,generic,National Association of Boards of Pharmacy,2023-10-30
.photo,generic,"Uniregistry, Corp.",2023-10-30
.photography,generic,"Sugar Glen, LLC",2023-10-30
.photos,generic,"Sea Corner, LLC",2023-10-30
.physio,generic,PhysBiz Pty Ltd,2023-10-30
.piaget,generic,Richemont DNS Inc.,2023-10-30
.pics,generic,"Uniregistry, Corp.",2023-10-30
.pictet,generic,Pictet Europe S.A.,2023-10-30
.pictures,generic,"Foggy Sky, LLC",2023-10-30
.pink,generic,Afilias Limited,2023-10-30
.pizza,generic,"Foggy Moon, LLC",2023-10-30
.place,generic,"Snow Galley, LLC",2023-10-30
.plumbing,generic,"Spring Tigers, LLC",2023-10-30
.plus,generic,"Sugar Mill, LLC",2023-10-30
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-10-30
.poker,generic,Afilias Domains No. 5 Limited,2023-10-30
.porn,generic,ICM Registry PN LLC,2023-10-30
.praxi,generic,Praxi S.p.A.,2023-10-30
.press,generic,DotPress Inc.,2023-10-30
.prod,generic,Charleston Road Registry Inc.,2023-10-30
.productions,generic,"Magic Birch, LLC",2023-10-30
.prof,generic,Charleston Road Registry Inc.,2023-10-30
.properties,generic,"Big Pass, LLC",2023-10-30
.property,generic,"Uniregistry, Corp.",2023-10-30
.pub,generic,United TLD Holdco Ltd.,2023-10-30
.qpon,generic,"dotCOOL, Inc.",2023-10-30
.quebec,generic,PointQuébec Inc,2023-10-30
.racing,generic,Premier Registry Limited,2023-10-30
.realtor,generic,Real Estate Domains LLC,2023-10-30
.recipes,generic,"Grand Island, LLC",2023-10-30
.red,generic,Afilias Limited,2023-10-30
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2023-10-30
.rehab,generic,United TLD Holdco Ltd.,2023-10-30
.reise,generic,dotreise GmbH,2023-10-30
.reisen,generic,"New Cypress, LLC",2023-10-30
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2023-10-30
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2023-10-30
.rentals,generic,"Big Hollow,LLC",2023-10-30
.repair,generic,"Lone Sunset, LLC",2023-10-30
.report,generic,"Binky Glen, LLC",2023-10-30
.republican,generic,United TLD Holdco Ltd.,2023-10-30
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2023-10-30
.restaurant,generic,"Snow Avenue, LLC",2023-10-30
.review,generic,dot Review Limited,2023-10-30
.reviews,generic,"United TLD Holdco, Ltd.",2023-10-30
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2023-10-30
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2023-10-30
.rip,generic,United TLD Holdco Ltd.,2023-10-30
.rocks,generic,"United TLD Holdco, LTD.",2023-10-30
.rodeo,generic,Top Level Domain Holdings Limited,2023-10-30
.rsvp,generic,Charleston Road Registry Inc.,2023-10-30
.ruhr,generic,regiodot GmbH & Co. KG,2023-10-30
.ryukyu,generic,BusinessRalliart inc.,2023-10-30
.saarland,generic,dotSaarland GmbH,2023-10-30
.sale,generic,"United TLD Holdco, Ltd",2023-10-30
.samsung,generic,"SAMSUNG SDS CO., LTD",2023-10-30
.sap,generic,SAP AG,2023-10-30
.sarl,generic,"Delta Orchard, LLC",2023-10-30
.saxo,generic,Saxo Bank A/S,2023-10-30
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2023-10-30
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2023-10-30
.schmidt,generic,SALM S.A.S.,2023-10-30
.scholarships,generic,"Scholarships.com, LLC",2023-10-30
.school,generic,"Little Galley, LLC",2023-10-30
.schule,generic,"Outer Moon, LLC",2023-10-30
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2023-10-30
.science,generic,dot Science Limited,2023-10-30
.scot,generic,Dot Scot Registry Limited,2023-10-30
.services,generic,"Fox Castle, LLC",2023-10-30
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2023-10-30
.sexy,generic,"Uniregistry, Corp.",2023-10-30
.shiksha,generic,Afilias Limited,2023-10-30
.shoes,generic,"Binky Galley, LLC",2023-10-30
.shriram,generic,Shriram Capital Ltd.,2023-10-30
.singles,generic,"Fern Madison, LLC",2023-10-30
.site,generic,DotSite Inc.,2023-10-30
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2023-10-30
.social,generic,United TLD Holdco Ltd.,2023-10-30
.software,generic,"United TLD Holdco, Ltd",2023-10-30
.sohu,generic,Sohu.com Limited,2023-10-30
.solar,generic,"Ruby Town, LLC",2023-10-30
.solutions,generic,"Silver Cover, LLC",2023-10-30
.soy,generic,Charleston Road Registry Inc.,2023-10-30
.space,generic,DotSpace Inc.,2023-10-30
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2023-10-30
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2023-10-30
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2023-10-30
.style,generic,"Binky Moon, LLC",2023-10-30
.sucks,generic,Vox Populi Registry Inc.,2023-10-30
.supplies,generic,"Atomic Fields, LLC",2023-10-30
.supply,generic,"Half Falls, LLC",2023-10-30
.support,generic,"Grand Orchard, LLC",2023-10-30
.surf,generic,Top Level Domain Holdings Limited,2023-10-30
.surgery,generic,"Tin Avenue, LLC",2023-10-30
.suzuki,generic,SUZUKI MOTOR CORPORATION,2023-10-30
.sydney,generic,"State of New South Wales, Department of Premier and Cabinet",2023-10-30
.systems,generic,"Dash Cypress, LLC",2023-10-30
.taipei,generic,Taipei City Government,2023-10-30
.tatar,generic,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic""",2023-10-30
.tattoo,generic,"Uniregistry, Corp.",2023-10-30
.tax,generic,"Storm Orchard, LLC",2023-10-30
.tech,generic,Dot Tech LLC,2023-10-30
.technology,generic,"Auburn Falls, LLC",2023-10-30
.temasek,generic,Temasek Holdings (Private) Limited,2023-10-30
.tennis,generic,"Cotton Bloom, LLC",2023-10-30
.tickets,generic,Accent Media Limited,2023-10-30
.tienda,generic,"Victor Manor, LLC",2023-10-30
.tips,generic,"Corn Willow, LLC",2023-10-30
.tires,generic,"Dog Edge, LLC",2023-10-30
.tirol,generic,punkt Tirol GmbH,2023-10-30
.today,generic,"Pearl Woods, LLC",2023-10-30
.tokyo,generic,"GMO Registry, Inc.",2023-10-30
.tools,generic,"Pioneer North, LLC",2023-10-30
.top,generic,"Jiangsu Bangning Science & Technology Co.,Ltd.",2023-10-30
.toshiba,generic,TOSHIBA Corporation,2023-10-30
.tours,generic,"Sugar Station, LLC",2023-10-30
.town,generic,"Koko Moon, LLC",2023-10-30
.toys,generic,"Pioneer Orchard, LLC",2023-10-30
.trade,generic,Elite Registry Limited,2023-10-30
.trading,generic,DOTTRADING REGISTRY LTD,2023-10-30
.training,generic,"Wild Willow, LLC",2023-10-30
.trust,generic,Artemis Internet Inc,2023-10-30
.tui,generic,TUI AG,2023-10-30
.university,generic,"Little Station, LLC",2023-10-30
.uno,generic,Dot Latin LLC,2023-10-30
.uol,generic,UBN INTERNET LTDA.,2023-10-30
.vacations,generic,"Atomic Tigers, LLC",2023-10-30
.vegas,generic,"Dot Vegas, Inc.",2023-10-30
.ventures,generic,"Binky Lake, LLC",2023-10-30
.versicherung,generic,dotversicherung-registry GmbH,2023-10-30
.vet,generic,"United TLD Holdco, Ltd",2023-10-30
.viajes,generic,"Black Madison, LLC",2023-10-30
.video,generic,"United TLD Holdco, Ltd",2023-10-30
.villas,generic,"New Sky, LLC",2023-10-30
.vision,generic,"Koko Station, LLC",2023-10-30
.vlaanderen,generic,DNS.be vzw,2023-10-30
.vodka,generic,Top Level Domain Holdings Limited,2023-10-30
.vote,generic,Monolith Registry LLC,2023-10-30
.voting,generic,Valuetainment Corp.,2023-10-30
.voto,generic,Monolith Registry LLC,2023-10-30
.voyage,generic,"Ruby House, LLC",2023-10-30
.wales,generic,Nominet UK,2023-10-30
.wang,generic,Zodiac Registry Limited,2023-10-30
.watch,generic,"Sand Shadow, LLC",2023-10-30
.webcam,generic,dot Webcam Limited,2023-10-30
.website,generic,DotWebsite Inc.,2023-10-30
.wed,generic,"Atgron, Inc.",2023-10-30
.wedding,generic,Top Level Domain Holdings Limited,2023-10-30
.whoswho,generic,Who's Who Registry,2023-10-30
.wien,generic,punkt.wien GmbH,2023-10-30
.wiki,generic,"Top Level Design, LLC",2023-10-30
.williamhill,generic,William Hill Organization Limited,2023-10-30
.win,generic,First Registry Limited,2023-10-30
.wme,generic,"William Morris Endeavor Entertainment, LLC",2023-10-30
.work,generic,Top Level Domain Holdings Limited,2023-10-30
.works,generic,"Little Dynamite, LLC",2023-10-30
.world,generic,"Bitter Fields, LLC",2023-10-30
.wtc,generic,"World Trade Centers Association, Inc.",2023-10-30
.wtf,generic,"Hidden Way, LLC",2023-10-30
.xin,generic,Elegant Leader Limited,2023-10-30
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2023-10-30
.慈善,generic,Excellent First Limited,2023-10-30
.集团,generic,Eagle Horizon Limited,2023-10-30
.在线,generic,TLD REGISTRY LIMITED,2023-10-30
.八卦,generic,Zodiac Scorpio Limited,2023-10-30
.موقع,generic,Suhub Electronic Establishment,2023-10-30
.公益,generic,China Organizational Name Administration Center,2023-10-30
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2023-10-30
.移动,generic,Afilias Limited,2023-10-30
.我爱你,generic,Tycoon Treasure Limited,2023-10-30
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2023-10-30
.онлайн,generic,CORE Association,2023-10-30
.сайт,generic,CORE Association,2023-10-30
.时尚,generic,RISE VICTORY LIMITED,2023-10-30
.淡马锡,generic,Temasek Holdings (Private) Limited,2023-10-30
.орг,generic,Public Interest Registry,2023-10-30
.삼성,generic,"SAMSUNG SDS CO., LTD",2023-10-30
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2023-10-30
.商店,generic,"Wild Island, LLC",2023-10-30
.商城,generic,Zodiac Aquarius Limited,2023-10-30
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2023-10-30
.中文网,generic,TLD REGISTRY LIMITED,2023-10-30
.中信,generic,CITIC Group Corporation,2023-10-30
.谷歌,generic,Charleston Road Registry Inc.,2023-10-30
.网店,generic,Zodiac Libra Limited,2023-10-30
.संगठन,generic,Public Interest Registry,2023-10-30
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2023-10-30
.飞利浦,generic,Koninklijke Philips N.V.,2023-10-30
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2023-10-30
.بازار,generic,CORE Association,2023-10-30
.政府,generic,"Net-Chinese Co., Ltd.",2023-10-30
.شبكة,generic,International Domain Registry Pty. Ltd.,2023-10-30
.机构,generic,Public Interest Registry,2023-10-30
.组织机构,generic,Public Interest Registry,2023-10-30
.健康,generic,Stable Tone Limited,2023-10-30
.рус,generic,Rusnames Limited,2023-10-30
.みんな,generic,Charleston Road Registry Inc.,2023-10-30
.グーグル,generic,Charleston Road Registry Inc.,2023-10-30
.世界,generic,Stable Tone Limited,2023-10-30
.网址,generic,"KNET Co., Ltd",2023-10-30
.游戏,generic,"Spring Fields, LLC",2023-10-30
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-10-30
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-10-30
.企业,generic,"Dash McCook, LLC",2023-10-30
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2023-10-30
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2023-10-30
.政务,generic,China Organizational Name Administration Center,2023-10-30
.xyz,generic,XYZ.COM LLC,2023-10-30
.yachts,generic,"DERYachts, LLC",2023-10-30
.yandex,generic,"YANDEX, LLC",2023-10-30
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2023-10-30
.yoga,generic,Top Level Domain Holdings Limited,2023-10-30
.yokohama,generic,"GMO Registry, Inc.",2023-10-30
.youtube,generic,Charleston Road Registry Inc.,2023-10-30
.zip,generic,Charleston Road Registry Inc.,2023-10-30
.zone,generic,"Outer Falls, LLC",2023-10-30
.zuerich,generic,Kanton Zürich (Canton of Zurich),2023-10-30
